logFC	logCPM	PValue	FDR
YPK_1428	1.13660119777236	11.4618060586273	0.0101270331690438	0.267880909165038
YPK_3203	1.18403890910978	9.6362938121693	0.0102072172272645	0.267880909165038
YPK_3194	-1.27073527138969	9.04035583535244	0.0102784041885866	0.267880909165038
YPK_4023	-3.10034890140051	7.44284916168537	0.0105092353068872	0.271773713052524
YPK_0455	-3.50224622480369	7.70011605128838	0.0110336285215019	0.28313988267485
YPK_2615	-0.82700792590097	11.6759402479532	0.0113187924601839	0.288240394253232
YPK_2531	-4.99238975924669	7.0252707669905	0.0115117793952071	0.290934061078869
YPK_2232	-5.07314120930271	7.04858157162444	0.0116199762278412	0.291460456361491
YPK_2027	2.33743623103682	7.6815034940148	0.0118676975991798	0.295452531275103
YPK_0779	-4.87107367111719	6.96217716954518	0.0121747393955937	0.300851337953338
YPK_0858	2.05776293178755	8.20438597758043	0.0123773425556775	0.301570958447851
YPK_1437	1.64772160320009	8.72609568413026	0.0124905889069435	0.301570958447851
YPK_0487	-1.48240614767049	8.53323704333128	0.0125196775857136	0.301570958447851
YPK_3989	1.46336747379	9.48786155462086	0.0126460269090407	0.301570958447851
YPK_2566	1.06525278875358	11.6615030456551	0.0126709350422986	0.301570958447851
YPK_3786	5.32133099116231	7.32681197889005	0.0127462545387131	0.301570958447851
YPK_0303	-0.837521757729685	10.9149829110082	0.0128554659874033	0.302012919253362
YPK_0308	-0.799916854544272	11.0388273139658	0.013301939951986	0.308852429693272
YPK_4142	1.13133405675331	9.20991627228685	0.0133317595551053	0.308852429693272
YPK_3814	1.50970682457885	9.01277021366532	0.0135569542799356	0.309532608642678
YPK_3522	-1.58699509100668	8.79928740824321	0.0135891617693409	0.309532608642678
YPK_2132	1.83534022298354	8.36985850001019	0.0136962734203329	0.309532608642678
YPK_1092	-4.89379118258049	6.96908561444939	0.0137322620141236	0.309532608642678
YPK_3655	4.72446405894345	7.0110985615023	0.0139685397717172	0.31030349770315
YPK_4155	-2.64838249365499	7.76893785268694	0.0140405429396322	0.31030349770315
YPK_1137	-0.760434929448147	10.5876781343918	0.0140455120363236	0.31030349770315
YPK_0381	-2.00329521071486	8.06966795663387	0.0141553118495913	0.310671844277873
YPK_0016	-1.49274755146965	8.38404510572635	0.0146605052014043	0.317925270037607
YPK_0992	4.73553987088817	7.01491523248856	0.0146764063506569	0.317925270037607
YPK_4235	2.86411807949496	7.68400937331874	0.0147815719743576	0.318137574880367
YPK_3604	-2.27285677343062	7.75512109218772	0.0149901728542516	0.320559081037073
YPK_3813	1.06533287190845	11.545376289276	0.0154499158519095	0.326263382045544
YPK_0019	5.23623547531065	7.27865521154575	0.0154773286735455	0.326263382045544
YPK_1711	-3.12214132654771	7.4507598450069	0.0156040571469087	0.326263382045544
YPK_2790	3.35143279561113	7.4383126946432	0.0157454588614886	0.326263382045544
YPK_1676	1.12544378087349	9.03995556350302	0.0157785726397814	0.326263382045544
YPK_3764	-2.16164911299028	7.6999252328188	0.0159224170333562	0.326263382045544
YPK_1044	-1.49902443801546	8.30088947509393	0.0159415261610982	0.326263382045544
YPK_2441	-1.71877423402916	8.24597614802681	0.0160993472862683	0.327484283823115
YPK_2849	1.40893282944454	8.7390390932252	0.0162494010925682	0.328533345726106
YPK_0175	1.53939027893143	8.538048814142	0.0163702519097924	0.328982893801612
YPK_1712	1.27782189523189	9.08320374989788	0.0168892930751584	0.337381327537296
YPK_4144	1.39146726297653	8.99827862768254	0.0171704991804039	0.340731206664591
YPK_3104	-2.00521484929851	7.93830898012455	0.0172649611008547	0.340731206664591
YPK_2054	2.72628873298795	7.56127130842511	0.0173634008192388	0.340731206664591
YPK_0315	1.8326905059997	8.22719808655245	0.0176876968595297	0.344226548109356
YPK_0861	1.316655007958	8.69300105635591	0.0177478915691874	0.344226548109356
YPK_2789	-1.13404867392757	8.95908054875408	0.0182068039175972	0.351086114850314
YPK_3280	-2.56497685561414	7.72780814998912	0.0190557037996047	0.362269204970336
YPK_2918	-1.02360919549567	9.60649589904978	0.0191954524488111	0.362269204970336
YPK_3638	4.59330453576629	6.95005300483398	0.0193445077927254	0.362269204970336
YPK_2652	2.26543628255108	7.89167674358929	0.019380522071306	0.362269204970336
YPK_0096	4.59329799281943	6.95005300483398	0.0194137565302109	0.362269204970336
YPK_0291	-1.59192215457651	8.26250617798732	0.0195000939617171	0.362269204970336
YPK_0011	-1.66529165197569	8.11565538303161	0.0196002802268739	0.362269204970336
YPK_2994	-1.13841412995543	9.09151398013118	0.0196554934351411	0.362269204970336
YPK_0533	1.41766041085381	8.81369797978385	0.0198881100941917	0.364542501506722
YPK_1962	4.60077777182057	6.95258309827269	0.0200332522798551	0.364995032463242
YPK_0648	-1.24948271638242	8.77268937846587	0.0204322479629301	0.364995032463242
YPK_3483	-1.67517448376977	7.99965759885229	0.0205297757534167	0.364995032463242
YPK_2474	0.636872380283579	11.6966491247877	0.0205791740494711	0.364995032463242
YPK_0242	1.72761098942166	8.26956711511363	0.0206469509117527	0.364995032463242
YPK_2363	-2.10079261999492	7.84195549942838	0.0207352710753192	0.364995032463242
YPK_0712	-3.0939029594272	7.44688022735168	0.0208637129052424	0.364995032463242
YPK_3426	-0.999713773288187	9.31637143938399	0.0208830265507066	0.364995032463242
YPK_3364	-2.9979233460374	7.38653782111846	0.020897497362254	0.364995032463242
YPK_2151	4.98545962264835	7.13515337221889	0.0219118851831731	0.380719005057633
YPK_0469	-2.08268614596788	7.8308023212701	0.0221414363471091	0.38271415364744
YPK_3925	1.31255888236233	8.91804766632014	0.022669620639326	0.389823992024699
YPK_0161	-0.86429666352739	11.0485787880189	0.0228389977327948	0.390722545828736
YPK_2233	4.84323150324195	7.06932572212766	0.0231311143827054	0.393701008064823
YPK_0993	3.19247225440971	7.34875032632197	0.0233892830951439	0.396074357387817
YPK_4006	1.3722674619519	8.43383913744111	0.0239397541124087	0.401011511213579
YPK_0145	1.40460382585306	8.53820619708961	0.0239405045541274	0.401011511213579
YPK_3942	1.58516166025333	8.06095108963047	0.0240414575068093	0.401011511213579
YPK_3235	-0.860457469215378	9.96172372134392	0.0248638591517528	0.412665841444017
YPK_2757	2.60255628003859	7.52966805491289	0.0251369455672764	0.415132922833831
YPK_0537	3.33968314401679	7.43087304691291	0.025288605833955	0.415580241685094
YPK_1901	2.6801745848405	7.57537820571716	0.025644567356417	0.419364101475525
