Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_2419,   0,   2,   0,   0,   0,   0
YPK_2420,   0,   0,   0,   0,   0,   2
YPK_2421,   0,   0,   0,   0,   0,   0
YPK_2422,   0,   0,   0,   2,   0,   1
YPK_2423,   0,   0,   0,   0,   0,   0
YPK_2424,   0,   0,   0,   0,   2,   0
YPK_2425,   0,   0,   0,   0,   0,   0
YPK_2426,   2,   2,   0,   0,   0,   0
YPK_2427,   0,   0,   0,   0,   6,   0
YPK_2428,   0,   1,   0,   0,   3,   0
YPK_2429,   0,   6,   4,   0,   8,   2
YPK_2430,   0,   0,   0,   0,   0,   0
YPK_2431,   1,   0,   0,   0,   0,   0
YPK_2432,   0,   2,   0,   2,   2,   1
YPK_2433,   0,   0,   0,   0,   0,   0
YPK_2434,   0,   0,   0,   0,   0,   0
YPK_2435,   1,   2,   5,   0,   0,   0
YPK_2436,   0,   2,   0,   0,   2,   0
YPK_2437,   4,   7,   0,   8,   2,   6
YPK_2438,  18,  10,  27,  42,  12,  27
YPK_2439,   2,   0,   4,   4,   0,   3
YPK_2440,   5,   4,   2,   2,   9,   5
YPK_2441,   3,   4,   4,  16,   8,   4
YPK_2442,  21,  21,  16,  11,  10,   6
YPK_2443,   6,   0,   3,   4,  13,   2
YPK_2444,   0,   4,   1,   0,   4,   2
YPK_2445,   1,   4,   1,   0,   4,   0
YPK_2446,   2,  10,   6,   0,   2,   0
YPK_2447,   8,   8,   6,   0,  10,   0
YPK_2448,   0,   2,   2,   0,   2,   0
YPK_2449,   0,   2,   0,   0,   0,   1
YPK_2450,   4,   2,   4,   0,   2,   0
YPK_2451,  12,  11,  14,   0,  10,   3
YPK_2452,   0,   3,   8,   2,   3,   1
YPK_2453,   0,   0,   0,   0,   0,   0
YPK_2454,   0,   0,   0,   0,   0,   0
YPK_2455,   1,   0,   0,   0,   0,   0
YPK_2456,   0,   0,   0,   0,   2,   0
YPK_2457,   0,   0,   0,   0,   0,   0
YPK_2458,   0,   0,   0,   0,   0,   0
YPK_2459,   0,   0,   0,   0,   0,   0
YPK_2460,   0,   0,   0,   0,   0,   0
YPK_2461,   2,   0,   0,   0,   0,   0
YPK_2462,   0,   1,   0,   0,   5,   0
YPK_2463,   3,   6,   2,   4,   5,   2
YPK_2464, 452, 387, 239, 188, 165, 207
YPK_2465, 276, 183, 191, 217, 175, 201
YPK_2466, 401, 462, 302, 566, 447, 467
YPK_2467,   2,   3,   4,   0,   2,   1
YPK_2468,   1,   0,   0,   0,   0,   3
YPK_2469,  10,   0,   2,   0,   0,   0
YPK_2470,   6,   0,   0,   2,   0,   1
YPK_2471,   4,   0,   0,   0,   0,   0
YPK_2472,   2,   0,   0,   4,   8,   4
YPK_2473,   6,   6,   1,   2,   2,   4
YPK_2474, 106, 139, 148,  67,  69,  52
YPK_2475,  36,  48,  48,  14,  19,  13
YPK_2476,   0,   0,   0,   0,   0,   0
YPK_2477,  14,   6,   4,   0,   0,   0
YPK_2478,   0,   0,   0,   0,   0,   0
YPK_2479,   0,   0,   0,   0,   0,   0
YPK_2480,  11,   2,   0,   0,   0,   2
YPK_2481,   0,   2,   0,   1,   0,   0
YPK_2482,   0,   2,   2,   3,   4,   2
YPK_2483,   4,   3,   4,   6,   4,   1
YPK_2484,   0,   2,   0,   0,   1,   0
YPK_2485,   0,   0,   1,   0,   2,   0
YPK_2486,   0,   0,   3,   1,   0,   1
YPK_2487,   2,   4,   0,   3,   0,   5
YPK_2488,  14,   4,   5,  11,   2,   8
YPK_2489,  13,   8,   2,   2,   0,   1
YPK_2490,  12,   4,   2,   2,   7,   5
YPK_2491,   2,  10,  14,  10,   4,   4
YPK_2492,   2,   3,   2,   1,   0,   1
YPK_2493,  10,   5,   1,   3,   4,   1
YPK_2494,   0,   0,   0,   0,   0,   0
YPK_2495,   0,   0,   0,   0,   0,   0
YPK_2496,   6,   4,   5,   0,   0,   0
YPK_2497,   1,   0,   0,   0,   0,   0
YPK_2498,   2,   6,   1,   2,   0,   1
YPK_2499,   0,   0,   0,   0,   0,   0
YPK_2500,   0,   3,   6,   0,   2,   1
YPK_2501,   0,   0,   0,   0,   0,   0
YPK_2502,   0,   0,   0,   0,   0,   0
YPK_2503,   0,   4,   2,   0,   0,   0
YPK_2504,   0,   0,   0,   4,   0,   0
YPK_2505,   4,   2,   4,   0,   2,   2
YPK_2506,   9,   6,  14,  14,  20,   6
YPK_2507,   0,   1,   1,   0,   0,   0
YPK_2508,   4,   0,   4,   0,   0,   1
YPK_2509,   0,   0,   0,   0,   0,   0
